time,lacI,Plac_lacI,mRNA,Plac
1990.0,18.692308,0.30769232,0.0,0.6923077
2000.0,18.714285,0.2857143,0.0,0.71428573
2010.0,18.692308,0.30769232,0.0,0.6923077
2020.0,18.714285,0.2857143,0.0,0.71428573
2030.0,18.705883,0.29411766,0.0,0.7058824
2040.0,18.88889,0.11111111,0.0,0.8888889
2050.0,18.818182,0.18181819,0.0,0.8181818
2060.0,17.818182,0.45454547,0.0,0.54545456
2070.0,17.666666,0.33333334,0.0,0.6666667
2080.0,17.5,0.5,0.0,0.5
2090.0,17.7,0.3,0.0,0.7
2100.0,17.7,0.3,0.0,0.7
2110.0,17.76923,0.23076923,0.0,0.7692308
2120.0,17.636364,0.36363637,0.0,0.6363636
2130.0,17.68421,0.31578946,0.0,0.68421054
2140.0,17.76923,0.23076923,0.0,0.7692308
2150.0,17.647058,0.3529412,0.0,0.64705884
2160.0,17.2,0.33333334,0.0,0.6666667
2170.0,16.705883,0.29411766,0.0,0.7058824
2180.0,16.714285,0.2857143,0.0,0.71428573
2190.0,16.588236,0.4117647,0.0,0.5882353
2200.0,16.714285,0.2857143,0.0,0.71428573
2210.0,16.545454,0.45454547,0.0,0.54545456
2220.0,16.285715,0.42857143,0.0,0.5714286
2230.0,15.65,0.35,0.0,0.65
2240.0,15.571428,0.42857143,0.0,0.5714286
2250.0,15.666667,0.33333334,0.0,0.6666667
2260.0,15.642858,0.35714287,0.0,0.64285713
2270.0,15.583333,0.41666666,0.0,0.5833333
2280.0,15.714286,0.2857143,0.0,0.71428573
2290.0,15.6,0.4,0.0,0.6
2300.0,15.692307,0.30769232,0.0,0.6923077
2310.0,15.666667,0.33333334,0.0,0.6666667
2320.0,15.777778,0.22222222,0.0,0.7777778
2330.0,14.666667,0.33333334,0.0,0.6666667
2340.0,13.681818,0.3181818,0.0,0.6818182
2350.0,13.545455,0.45454547,0.0,0.54545456
2360.0,13.7,0.3,0.0,0.7
2370.0,12.625,0.5,0.0,0.5
2380.0,12.666667,0.33333334,0.0,0.6666667
2390.0,12.6875,0.3125,0.0,0.6875
2400.0,12.75,0.25,0.0,0.75
2410.0,12.64,0.36,0.0,0.64
2420.0,12.6470585,0.3529412,0.0,0.64705884
2430.0,12.75,0.25,0.0,0.75
2440.0,12.571428,0.42857143,0.0,0.5714286
2450.0,12.666667,0.33333334,0.0,0.6666667
2460.0,12.666667,0.33333334,0.0,0.6666667
2470.0,12.571428,0.42857143,0.0,0.5714286
2480.0,12.6875,0.3125,0.0,0.6875
2490.0,12.5,0.5,0.0,0.5
2500.0,12.615385,0.3846154,0.0,0.61538464
